week,race_cat_col,state,hh_contacts,non_hh_contacts,samp_size
2021-01-24,other,OK,2.2942725860609685,9.032074258448707,467
2021-01-24,other,OR,2.1890329083621327,5.057519549724501,217
2021-01-24,other,PA,2.302757334629205,6.42226976132852,247
2021-01-24,other,RI,2.9991197095021143,7.3419605491055275,25
2021-01-24,other,SC,2.1296764529729546,11.238204206905099,145
2021-01-24,other,SD,2.6251183748699685,10.172822622433934,94
2021-01-24,other,TN,2.0923724172513505,9.460701020068804,149
2021-01-24,other,TX,2.2432484363436043,8.728695031139013,487
2021-01-24,other,UT,3.1232606507308502,7.110773006193662,91
2021-01-24,other,VA,1.8901157210254147,6.711896447848518,236
2021-01-24,other,VT,1.982603539379987,3.953931604713885,25
2021-01-24,other,WA,2.2994467755167336,6.076029720736718,409
2021-01-24,other,WI,2.4454725160743145,8.723720586015368,152
2021-01-24,other,WV,1.8857457525917678,5.798306417432773,52
2021-01-24,other,WY,3.226541372550565,9.907112994071607,28
2021-01-24,asian,AK,3.029234360223053,5.789534796374889,23
2021-01-24,asian,AL,2.302313752613646,5.434250829403753,19
2021-01-24,asian,AR,2.1665583584482864,2.5967681411352546,12
2021-01-24,asian,AZ,2.156092610558359,6.463050710561174,56
2021-01-24,asian,CA,2.48310054052521,4.443504378490993,1321
2021-01-24,asian,CO,1.790243823964311,4.5964362144009705,50
2021-01-24,asian,CT,2.5505546542124855,5.396265353574866,50
2021-01-24,asian,DC,0.8543268471904427,0.40496456160440114,9
2021-01-24,asian,DE,1.9627508208230224,2.713115434332687,17
2021-01-24,asian,FL,1.9743137664258847,7.47575573297712,156
2021-01-24,asian,GA,2.5114003035431414,6.706482119889665,84
2021-01-24,asian,HI,2.736982739856107,5.248264674878157,177
2021-01-24,asian,IA,2.4467879187380808,4.234191670534205,15
2021-01-24,asian,ID,1.8135218640153494,15.238453682736074,13
2021-01-24,asian,IL,2.279718131945477,5.872921102380117,195
2021-01-24,asian,IN,1.742072874592679,6.959904796975762,39
2021-01-24,asian,KS,1.9256502908845945,4.605665292188674,23
2021-01-24,asian,KY,2.0967411365994386,2.785066690231023,11
